FIPS,TOTAL
26085.0,0
26087.0,38
26089.0,1
26091.0,18
26093.0,32
26095.0,0
26097.0,0
26099.0,1059
26101.0,3
26103.0,12
26105.0,1
26107.0,4
26109.0,3
0,75
26111.0,13
26113.0,1
26115.0,30
26117.0,8
26119.0,0
26121.0,74
26123.0,2
26125.0,1224
26127.0,6
26129.0,5
26131.0,0
26133.0,0
26135.0,1
26137.0,11
26139.0,70
80026.0,2
26141.0,1
26143.0,4
26145.0,148
26151.0,7
26153.0,0
26155.0,33
26147.0,62
26149.0,12
26157.0,34
90026.0,0
26159.0,18
26161.0,116
26163.0,3017
26165.0,4
27001.0,1
27003.0,147
27005.0,2
27007.0,7
27009.0,4
27011.0,0
27013.0,7
27015.0,3
27017.0,1
27019.0,7
27021.0,4
27023.0,2
27025.0,2
27027.0,43
27029.0,0
27031.0,0
27033.0,0
27035.0,21
27037.0,133
27039.0,0
27041.0,3
27043.0,0
27045.0,0
27047.0,4
27049.0,11
27051.0,4
27053.0,962
27055.0,1
27057.0,2
27059.0,3
27061.0,17
27063.0,1
27065.0,10
27067.0,4
27069.0,0
27071.0,4
27073.0,2
27075.0,0
27077.0,1
27079.0,5
27081.0,0
27083.0,6
27087.0,1
27089.0,1
27091.0,16
27085.0,3
27093.0,3
27095.0,7
27097.0,5
27099.0,11
27101.0,3
27103.0,17
27105.0,16
27107.0,0
27109.0,29
27111.0,6
80027.0,0
27113.0,1
27115.0,0
27117.0,16
27119.0,4
27121.0,0
27123.0,341
27125.0,2
27127.0,10
27129.0,11
27131.0,8
27133.0,1
27135.0,0
27139.0,34
27141.0,20
27143.0,3
27137.0,61
27145.0,33
27147.0,2
27149.0,1
27151.0,1
27153.0,2
27155.0,0
90027.0,53
27157.0,0
27159.0,0
27161.0,9
27163.0,66
27165.0,4
27167.0,4
27169.0,18
27171.0,13
27173.0,5
28001.0,40
28003.0,12
28005.0,13
28007.0,25
28009.0,4
28011.0,75
28013.0,12
28015.0,12
28017.0,24
28019.0,6
28021.0,16
28023.0,48
28025.0,21
28027.0,36
28029.0,36
28031.0,25
28033.0,77
28035.0,77
28037.0,3
28039.0,16
28041.0,17
28043.0,37
28045.0,27
28047.0,81
28049.0,170
28051.0,60
28053.0,16
28055.0,3
28057.0,24
28059.0,77
28061.0,16
28063.0,10
28065.0,11
28067.0,81
28069.0,15
28071.0,42
28073.0,38
28075.0,130
28077.0,14
28079.0,39
28081.0,79
28083.0,86
28085.0,54
28087.0,62
28089.0,92
28091.0,42
28093.0,25
28095.0,72
28097.0,23
28099.0,110
28101.0,27
28103.0,16
28105.0,54
80028.0,0
28107.0,36
28109.0,55
28111.0,22
28113.0,55
28115.0,19
28117.0,19
28119.0,6
28121.0,86
28123.0,29
28125.0,14
28127.0,48
28129.0,16
28131.0,14
28133.0,49
28135.0,25
28137.0,39
28139.0,20
28141.0,40
28143.0,17
90028.0,0
28145.0,25
28147.0,27
28149.0,54
28151.0,95
28153.0,21
28155.0,13
28157.0,20
28159.0,21
28161.0,14
28163.0,33
29001.0,0
29003.0,4
29005.0,1
29007.0,5
29009.0,7
29011.0,2
29013.0,3
29015.0,5
29017.0,2
29019.0,14
29021.0,33
29023.0,8
29025.0,1
29027.0,4
29029.0,23
29031.0,35
29033.0,2
29035.0,3
29037.0,27
29039.0,2
29041.0,1
29043.0,8
29045.0,0
29047.0,46
29049.0,7
29051.0,16
29053.0,2
